frame,x,y,flag
0,,,0
1,,,0
2,,,0
3,,,0
4,,,0
5,,,0
6,,,0
7,,,0
8,,,0
9,,,0
10,2460.932861328125,724.5076293945312,1
11,2438.1064453125,522.9893188476562,1
12,,,0
13,2406.307373046875,175.150634765625,1
14,,,0
15,,,0
16,,,0
17,,,0
18,,,0
19,,,0
20,,,0
21,,,0
22,,,0
23,,,0
24,,,0
25,,,0
26,,,0
27,,,0
28,,,0
29,,,0
30,,,0
31,,,0
32,,,0
33,,,0
34,,,0
35,,,0
36,,,0
37,,,0
38,,,0
39,,,0
40,,,0
41,,,0
42,,,0
43,,,0
44,,,0
45,,,0
46,,,0
47,,,0
48,,,0
49,987.1775512695312,586.0968017578125,1
50,,,0
51,,,0
52,,,0
53,,,0
54,,,0
55,,,0
56,,,0
57,,,0
58,,,0
59,1293.130859375,356.3189392089844,1
60,,,0
61,,,0
62,,,0
63,,,0
64,,,0
65,977.5201416015625,754.864013671875,1
66,,,0
67,,,0
68,,,0
69,,,0
70,,,0
71,,,0
72,,,0
73,,,0
74,720.3009033203125,871.2918090820312,1
75,731.105224609375,868.8245239257812,1
76,,,0
77,,,0
78,,,0
79,,,0
80,,,0
81,,,0
82,,,0
83,,,0
84,,,0
85,,,0
86,,,0
87,,,0
88,,,0
89,,,0
90,,,0
91,976.8006591796875,594.7849731445312,1
92,976.7442626953125,594.708740234375,1
93,976.8348999023438,594.674072265625,1
94,,,0
95,2006.3909912109375,254.7037353515625,1
96,2006.139404296875,255.37020874023438,1
97,2476.98486328125,568.2905883789062,1
98,,,0
99,,,0
100,,,0
101,,,0
102,,,0
103,,,0
104,,,0
105,,,0
106,,,0
107,,,0
108,,,0
109,,,0
110,,,0
111,,,0
112,,,0
113,,,0
114,,,0
115,,,0
116,,,0
117,,,0
118,,,0
119,,,0
120,,,0
121,,,0
122,,,0
123,,,0
124,,,0
125,,,0
126,,,0
127,,,0
128,,,0
129,,,0
130,,,0
131,,,0
132,,,0
133,,,0
134,,,0
135,,,0
136,,,0
137,,,0
