frame,x,y,flag
0,1334.9544677734375,1052.2099609375,1
1,1334.2481689453125,1051.547607421875,1
2,1333.9989013671875,1051.58056640625,1
3,1334.251708984375,1050.9901123046875,1
4,1333.7435302734375,1051.228271484375,1
5,1333.0142822265625,1050.846435546875,1
6,1333.201416015625,1050.91015625,1
7,1333.275146484375,1050.832763671875,1
8,1333.3896484375,1050.84326171875,1
9,1333.5633544921875,1050.2398681640625,1
10,1333.51025390625,1050.1640625,1
11,1333.5419921875,1050.4188232421875,1
12,1334.083740234375,1051.107177734375,1
13,1333.850830078125,1050.9656982421875,1
14,1335.00927734375,1050.947509765625,1
15,1335.130859375,1050.87548828125,1
16,1335.026123046875,1050.9664306640625,1
17,1334.525146484375,1049.337646484375,1
18,1334.517822265625,1049.3486328125,1
19,1335.826904296875,1048.492431640625,1
20,1335.748291015625,1048.476318359375,1
21,985.1761474609375,721.0291137695312,1
22,985.1782836914062,721.0289306640625,1
23,984.6246337890625,720.956787109375,1
24,984.6551513671875,720.887939453125,1
25,984.232421875,721.2347412109375,1
26,984.220947265625,721.2344970703125,1
27,984.463623046875,721.4903564453125,1
28,984.5086669921875,721.569091796875,1
29,984.537841796875,721.450439453125,1
30,984.9598999023438,720.9005737304688,1
31,984.9541015625,720.8856201171875,1
32,984.9293212890625,720.685546875,1
33,984.8568115234375,721.0330810546875,1
34,984.8765869140625,720.981201171875,1
35,985.5680541992188,721.277099609375,1
36,985.1856079101562,720.868408203125,1
37,985.454833984375,720.1339111328125,1
38,985.47021484375,720.1280517578125,1
39,985.3887939453125,720.4795532226562,1
40,985.5647583007812,720.2827758789062,1
41,985.57470703125,720.0126342773438,1
42,985.8104248046875,719.7056274414062,1
43,985.80712890625,719.55322265625,1
44,985.7305908203125,720.2730712890625,1
45,985.7095336914062,720.1880493164062,1
46,985.9530029296875,720.4617919921875,1
47,985.9007568359375,720.4158935546875,1
48,986.2467651367188,720.21044921875,1
49,986.287353515625,720.36474609375,1
50,986.168212890625,720.9080810546875,1
51,985.9840087890625,721.155029296875,1
52,986.051513671875,720.3624267578125,1
53,986.8834228515625,720.6195678710938,1
54,986.86474609375,720.7932739257812,1
55,987.8938598632812,720.50244140625,1
56,987.7474365234375,720.7692260742188,1
57,988.1009521484375,720.3921508789062,1
58,987.564697265625,716.7264404296875,1
59,987.5977783203125,716.6387939453125,1
60,987.7293701171875,715.8604736328125,1
61,987.7852783203125,715.7049560546875,1
62,988.1814575195312,715.4959716796875,1
63,988.201904296875,715.4808349609375,1
64,988.1007080078125,714.3203735351562,1
65,987.86279296875,714.359375,1
66,987.7286376953125,714.3038330078125,1
67,988.3082275390625,714.1468505859375,1
68,988.2554931640625,714.1798095703125,1
69,,,0
70,,,0
71,,,0
72,,,0
73,,,0
74,,,0
75,,,0
76,,,0
77,,,0
78,,,0
79,,,0
80,,,0
81,,,0
82,,,0
83,,,0
84,,,0
85,,,0
86,,,0
87,,,0
88,,,0
89,,,0
90,,,0
91,,,0
92,,,0
93,,,0
94,,,0
95,,,0
96,,,0
97,,,0
98,,,0
99,,,0
100,,,0
101,,,0
102,,,0
103,,,0
104,,,0
105,,,0
106,,,0
107,,,0
108,,,0
109,,,0
110,,,0
111,,,0
112,1113.1353759765625,643.976806640625,1
113,1113.301025390625,643.9442138671875,1
114,,,0
115,,,0
116,821.085205078125,1026.25634765625,1
117,821.10107421875,1026.30419921875,1
118,,,0
119,,,0
120,,,0
121,,,0
122,,,0
123,,,0
124,,,0
125,,,0
126,,,0
127,820.712890625,1027.52197265625,1
128,820.7163696289062,1027.638671875,1
129,820.740234375,1027.3897705078125,1
130,819.3707885742188,1028.589111328125,1
131,819.4873046875,1028.4642333984375,1
132,,,0
133,,,0
134,,,0
135,,,0
136,,,0
137,,,0
138,,,0
139,,,0
140,,,0
141,820.10498046875,1026.622314453125,1
142,820.18798828125,1026.885009765625,1
143,,,0
144,,,0
145,1332.3291015625,1048.072998046875,1
146,1332.29150390625,1047.9739990234375,1
147,1332.0391845703125,1048.046875,1
148,,,0
149,,,0
150,,,0
151,,,0
152,,,0
153,,,0
154,,,0
155,,,0
156,,,0
157,,,0
158,,,0
159,,,0
160,,,0
161,,,0
162,,,0
163,,,0
164,,,0
165,,,0
166,,,0
167,,,0
168,,,0
169,,,0
170,,,0
171,816.7066650390625,1026.3848876953125,1
172,816.7164306640625,1026.470947265625,1
173,816.14794921875,1026.797119140625,1
174,816.5281982421875,1026.6419677734375,1
175,816.6331787109375,1026.4747314453125,1
176,816.5023193359375,1027.2218017578125,1
177,816.36279296875,1027.1396484375,1
178,816.7535400390625,1027.4063720703125,1
179,816.62353515625,1027.3519287109375,1
180,816.9990234375,1027.3062744140625,1
181,817.215576171875,1027.041015625,1
182,817.253662109375,1027.0552978515625,1
183,984.52734375,720.115478515625,1
184,984.609619140625,720.0660400390625,1
185,983.7540893554688,721.7156982421875,1
186,983.9490966796875,721.6204833984375,1
187,983.3715209960938,722.7898559570312,1
188,983.2119140625,722.9182739257812,1
189,983.2626953125,722.8287353515625,1
190,983.6578369140625,723.0181884765625,1
191,983.887451171875,723.3743896484375,1
192,983.8846435546875,723.3935546875,1
193,983.95947265625,723.3187255859375,1
194,983.7772216796875,723.5068359375,1
195,983.860595703125,723.541748046875,1
196,984.47802734375,724.040283203125,1
197,984.536376953125,724.1058349609375,1
198,984.5523681640625,724.013916015625,1
199,983.920166015625,724.152587890625,1
200,984.065673828125,724.16796875,1
201,983.9448852539062,723.734619140625,1
202,983.98486328125,723.674560546875,1
203,983.970458984375,723.72998046875,1
204,984.0035400390625,723.5355224609375,1
205,983.9612426757812,723.4359130859375,1
206,984.8363037109375,721.6102905273438,1
207,984.84619140625,721.5636596679688,1
208,984.7315673828125,721.69677734375,1
209,984.9221801757812,721.2195434570312,1
210,985.3303833007812,721.4603271484375,1
211,985.4092407226562,721.501953125,1
212,985.69873046875,721.1373291015625,1
213,985.7340087890625,721.1943359375,1
214,985.684326171875,720.82177734375,1
215,985.6220703125,720.6290893554688,1
216,985.793212890625,720.7604370117188,1
217,986.445068359375,721.8660888671875,1
218,986.4295654296875,721.85498046875,1
219,986.5175170898438,720.4095458984375,1
220,986.722900390625,720.5064697265625,1
221,986.5638427734375,720.5144653320312,1
222,985.5057373046875,722.3038940429688,1
223,985.628662109375,722.00537109375,1
224,985.306640625,722.7379760742188,1
225,985.29638671875,722.802001953125,1
226,985.2344360351562,722.7340087890625,1
227,985.4216918945312,723.0003051757812,1
228,984.95361328125,722.9937133789062,1
229,985.5164794921875,724.322021484375,1
230,985.44921875,724.2460327148438,1
231,1326.916748046875,733.219482421875,1
232,1326.9508056640625,733.239990234375,1
233,1326.582275390625,732.961669921875,1
234,1326.57470703125,732.9822998046875,1
235,1326.56298828125,732.7669677734375,1
236,1326.512451171875,732.7744750976562,1
237,1326.8896484375,732.697265625,1
238,1326.900390625,732.7205810546875,1
239,1326.876220703125,732.7185668945312,1
240,1327.01513671875,732.7078247070312,1
241,1327.009765625,732.7158203125,1
242,1326.791748046875,732.8079833984375,1
243,1326.817138671875,732.862548828125,1
244,1326.826904296875,732.77978515625,1
245,1326.661376953125,732.7508544921875,1
246,1326.6416015625,732.7069091796875,1
247,1326.8470458984375,732.736572265625,1
248,1326.889404296875,732.668701171875,1
249,1326.94970703125,732.6716918945312,1
250,1326.492919921875,732.7986450195312,1
251,1326.45703125,732.79833984375,1
252,1325.6719970703125,732.988525390625,1
253,1325.557861328125,733.2230834960938,1
254,1325.4296875,733.1524047851562,1
255,1325.4306640625,733.19873046875,1
256,1325.8819580078125,732.710693359375,1
257,1325.916748046875,733.2359008789062,1
258,1393.486083984375,719.9739379882812,1
259,1393.46826171875,719.968017578125,1
260,1392.77734375,719.9910888671875,1
261,1392.872802734375,719.9017333984375,1
262,1392.922607421875,720.1283569335938,1
263,1392.7301025390625,719.9880981445312,1
264,1392.69775390625,720.33984375,1
265,1392.365478515625,719.8162841796875,1
266,1392.4163818359375,719.9866943359375,1
267,1392.370849609375,719.7576904296875,1
268,1392.596923828125,719.9129638671875,1
269,1392.5645751953125,719.8654174804688,1
270,1392.890380859375,719.5751342773438,1
271,1392.8408203125,719.1956787109375,1
272,1392.8251953125,719.5865478515625,1
273,1392.815673828125,719.2918701171875,1
274,1392.27978515625,717.7021484375,1
275,1392.847900390625,719.1793212890625,1
276,1392.817626953125,719.489501953125,1
277,1392.8154296875,719.2808837890625,1
278,1392.8538818359375,719.5385131835938,1
279,1392.8575439453125,719.3261108398438,1
280,1392.7205810546875,719.194580078125,1
281,1392.60546875,718.6616821289062,1
282,1392.6494140625,718.8798828125,1
283,1392.476806640625,718.8463745117188,1
284,1392.854248046875,719.4224853515625,1
285,1392.450927734375,718.7137451171875,1
286,1391.687744140625,716.2733154296875,1
287,1391.7425537109375,716.257568359375,1
288,1391.9537353515625,716.601806640625,1
289,1392.042724609375,716.7081298828125,1
290,1391.8916015625,716.5894775390625,1
291,1391.892578125,716.6018676757812,1
292,1391.711669921875,716.5201416015625,1
