frame,x,y,flag
0,823.363525390625,642.2636108398438,1
1,823.2393493652344,640.7086181640625,1
2,823.3914489746094,640.9809875488281,1
3,823.5321655273438,641.1204223632812,1
4,823.2127075195312,641.6961364746094,1
5,823.7675170898438,640.6499633789062,1
6,823.59814453125,640.4323425292969,1
7,823.4447631835938,640.3427734375,1
8,823.4674072265625,639.9828796386719,1
9,823.4578857421875,640.1632690429688,1
10,823.49560546875,640.0062255859375,1
11,823.4209289550781,639.9128723144531,1
12,823.9771118164062,639.7907409667969,1
13,824.1184387207031,641.0181884765625,1
14,824.380615234375,640.2396240234375,1
15,824.3467712402344,639.7926025390625,1
16,824.6963500976562,639.5924072265625,1
17,824.639404296875,639.5979614257812,1
18,824.5086364746094,639.4530334472656,1
19,824.14794921875,640.4400329589844,1
20,824.2483825683594,640.1511840820312,1
21,824.0856018066406,640.1028442382812,1
22,823.9202880859375,640.2007446289062,1
23,823.7401733398438,639.8539733886719,1
24,823.7515258789062,639.8448486328125,1
25,823.677978515625,639.7989501953125,1
26,823.8321533203125,639.86328125,1
27,823.9983825683594,639.893310546875,1
28,824.0088806152344,639.8994445800781,1
29,824.178955078125,640.0121459960938,1
30,824.1461181640625,639.9852294921875,1
31,823.766357421875,639.6528015136719,1
32,823.8514099121094,639.6795043945312,1
33,823.7826538085938,639.4678649902344,1
34,823.7833862304688,639.4936828613281,1
35,823.7095031738281,639.8052673339844,1
36,823.7085876464844,640.0298156738281,1
37,824.0755004882812,639.306884765625,1
38,824.1058959960938,639.2869262695312,1
39,823.7027282714844,640.0480041503906,1
40,823.7385559082031,640.1249694824219,1
41,823.6109008789062,640.6809692382812,1
42,824.1878356933594,641.0673522949219,1
43,824.2281494140625,641.092041015625,1
44,824.4158020019531,640.8679809570312,1
45,824.4530639648438,641.0380859375,1
46,824.4049682617188,641.0538024902344,1
47,824.3897705078125,641.033447265625,1
48,824.4096984863281,640.4455261230469,1
49,824.340087890625,640.5143127441406,1
50,824.3486022949219,640.2616882324219,1
51,824.3812866210938,640.4002075195312,1
52,824.2180786132812,640.6863098144531,1
53,824.1769714355469,640.7513732910156,1
54,920.0852661132812,1060.5489501953125,1
55,920.0875854492188,1060.5689086914062,1
56,919.4052429199219,1060.8642578125,1
57,919.4618530273438,1061.3663940429688,1
58,919.47509765625,1061.3471069335938,1
59,919.4922180175781,1061.295654296875,1
60,919.0110473632812,1061.0748901367188,1
61,919.0412902832031,1061.1780395507812,1
62,919.2274169921875,1060.874267578125,1
63,824.0867309570312,641.3799743652344,1
64,823.9465942382812,641.9707946777344,1
65,823.9433898925781,641.8235778808594,1
66,823.8867492675781,641.797607421875,1
67,823.8988342285156,641.80615234375,1
68,823.8077087402344,640.8731689453125,1
69,823.8294067382812,640.8792419433594,1
70,823.8236694335938,640.873046875,1
71,823.8803405761719,640.1775512695312,1
72,823.8714294433594,640.241943359375,1
73,823.7618408203125,640.5199279785156,1
74,823.7347106933594,640.5238342285156,1
75,823.7336120605469,640.3411865234375,1
76,919.6057739257812,1061.4760131835938,1
77,919.4992980957031,1061.5703125,1
78,919.4209899902344,1061.612060546875,1
79,919.4412536621094,1061.3772583007812,1
80,919.4531860351562,1061.4566650390625,1
81,919.4285583496094,1060.5588989257812,1
82,919.225830078125,1060.785400390625,1
83,919.2696838378906,1061.2058715820312,1
84,919.2844848632812,1061.2646484375,1
85,918.4854431152344,1059.5665283203125,1
86,918.5081176757812,1059.6267700195312,1
87,918.7887573242188,1059.5253295898438,1
88,918.7008361816406,1059.449951171875,1
89,919.142333984375,1059.114990234375,1
90,919.1141052246094,1059.2130126953125,1
91,824.7955017089844,641.0133361816406,1
92,824.8024597167969,640.9585571289062,1
93,824.8425903320312,640.9616088867188,1
94,824.8068542480469,641.2445678710938,1
95,824.7203674316406,641.2667541503906,1
96,824.4470520019531,641.0323486328125,1
97,826.5146484375,641.0658264160156,1
98,826.5733032226562,640.8392028808594,1
99,826.5876770019531,640.778076171875,1
100,826.9237365722656,641.4482116699219,1
101,827.0352172851562,641.575439453125,1
102,827.0170288085938,641.830078125,1
103,826.794677734375,641.7191772460938,1
104,826.793212890625,641.6820983886719,1
105,826.7213745117188,641.7710266113281,1
106,826.6961364746094,641.6292724609375,1
107,826.6923522949219,641.6206359863281,1
108,826.3355712890625,641.3525390625,1
109,826.2113342285156,641.2676086425781,1
110,826.4706115722656,641.0552978515625,1
111,826.3980102539062,640.9878234863281,1
112,825.9905090332031,640.4218444824219,1
113,825.9277038574219,640.3485412597656,1
114,825.6289672851562,640.4867553710938,1
115,825.6087341308594,640.4686889648438,1
116,825.56591796875,640.4785766601562,1
117,825.5689392089844,640.4934692382812,1
118,878.3881225585938,470.11634826660156,1
119,878.416015625,470.08778381347656,1
120,,,0
121,826.5581665039062,640.8888854980469,1
122,826.9072570800781,640.7583923339844,1
123,826.6509399414062,640.6390380859375,1
124,826.7218933105469,640.6942138671875,1
125,826.8179321289062,640.6083679199219,1
126,826.8870239257812,641.0216674804688,1
127,826.8549194335938,640.8989562988281,1
128,826.8188171386719,641.0823974609375,1
129,826.7365112304688,640.3958129882812,1
130,919.7273254394531,1059.5435791015625,1
131,919.4214782714844,1059.692138671875,1
132,919.51171875,1059.743896484375,1
133,826.3923645019531,643.5397644042969,1
134,826.3382568359375,643.5579528808594,1
135,826.7496948242188,643.6829528808594,1
136,826.3266906738281,643.5457458496094,1
137,826.4667053222656,643.3820190429688,1
138,826.3497314453125,643.6137084960938,1
139,826.5010070800781,643.6156005859375,1
140,827.0603942871094,641.3797302246094,1
141,826.8839721679688,641.1376037597656,1
142,826.7772216796875,641.32275390625,1
143,827.4486083984375,641.5958862304688,1
144,,,0
145,,,0
146,,,0
147,,,0
148,,,0
149,,,0
150,,,0
151,,,0
152,,,0
153,2008.53857421875,385.8761749267578,1
154,2475.51416015625,565.5871887207031,1
155,826.7223510742188,642.4839477539062,1
156,826.7711486816406,642.5459289550781,1
157,826.7487182617188,642.6063232421875,1
158,826.8317565917969,642.6141052246094,1
159,826.6639404296875,642.1836853027344,1
160,826.6770324707031,642.2045288085938,1
161,826.6265869140625,642.1638793945312,1
162,826.6791076660156,642.1830749511719,1
163,,,0
164,,,0
165,,,0
166,,,0
167,,,0
168,,,0
169,,,0
170,,,0
171,,,0
172,,,0
173,,,0
174,,,0
175,,,0
176,,,0
177,,,0
178,919.1331787109375,1060.2410888671875,1
179,919.1827697753906,1060.1807861328125,1
180,918.8684387207031,1060.1792602539062,1
181,918.9287719726562,1060.1456909179688,1
182,918.8271484375,1060.3119506835938,1
183,920.5459594726562,1060.7862548828125,1
184,920.5130310058594,1061.308837890625,1
185,920.5066833496094,1061.2178344726562,1
186,920.9830627441406,1062.1453247070312,1
187,920.9118957519531,1062.0376586914062,1
188,920.9699401855469,1061.9677734375,1
189,920.9169006347656,1061.88525390625,1
190,828.0701293945312,643.5040283203125,1
191,828.1541442871094,643.5379638671875,1
192,828.6183166503906,643.3547668457031,1
193,828.6615295410156,643.5148315429688,1
194,828.5123291015625,643.218505859375,1
195,826.4071655273438,642.4081115722656,1
